Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Gross_Sales,Discount_Amount,Net_Sales,Unit_Cost,Total_Cost,Profit,Payment_Method,Order_Status
ORD01241,1/1/2024,CUST0246,PROD059,3,534000,0.05,1602000,80100,1521900,343000,1029000,492900,Card,Pending
ORD00935,1/1/2024,CUST0263,PROD014,2,249000,0.15,498000,74700,423300,141700,283400,139900,Bank Transfer,Pending
ORD01847,1/1/2024,CUST0192,PROD037,3,107900,0.05,323700,16185,307515,59400,178200,129315,Card,Completed
ORD00736,1/1/2024,CUST0095,PROD031,5,38500,0.15,192500,28875,163625,27800,139000,24625,Mobile Money,Pending
ORD02161,1/3/2024,CUST0124,PROD032,3,439700,0.05,1319100,65955,1253145,331400,994200,258945,Bank Transfer,Completed
ORD02358,1/3/2024,CUST0122,PROD032,4,439700,0.1,1758800,175880,1582920,331400,1325600,257320,Card,Completed
ORD01426,1/3/2024,CUST0237,PROD008,2,284900,0.2,0,0,0,184900,0,0,Cash,Cancelled
ORD01594,1/3/2024,CUST0273,PROD033,3,36700,0.05,110100,5505,104595,21900,65700,38895,Mobile Money,Completed
ORD01765,1/4/2024,CUST0026,PROD048,5,414500,0.05,2072500,103625,1968875,303100,1515500,453375,Mobile Money,Completed
ORD01570,1/5/2024,CUST0184,PROD054,8,37100,0.15,296800,44520,252280,25500,204000,48280,Card,Completed
ORD02202,1/6/2024,CUST0265,PROD048,7,414500,0,2901500,0,2901500,303100,2121700,779800,Card,Completed
ORD02296,1/7/2024,CUST0209,PROD036,3,247600,0.2,742800,148560,594240,191100,573300,20940,Card,Completed
ORD00031,1/7/2024,CUST0211,PROD058,8,228300,0.1,0,0,0,139600,0,0,Card,Cancelled
ORD01043,1/7/2024,CUST0086,PROD042,6,9300,0.15,55800,8370,47430,5400,32400,15030,Mobile Money,Completed
ORD02047,1/7/2024,CUST0040,PROD024,8,148600,0.1,1188800,118880,1069920,96300,770400,299520,Card,Completed
ORD00626,1/8/2024,CUST0298,PROD033,3,36700,0.05,110100,5505,104595,21900,65700,38895,Card,Pending
ORD01642,1/8/2024,CUST0279,PROD015,5,24400,0.1,122000,12200,109800,17600,88000,21800,Bank Transfer,Completed
ORD00198,1/8/2024,CUST0082,PROD009,5,9600,0.1,48000,4800,43200,6200,31000,12200,Mobile Money,Pending
ORD00847,1/8/2024,CUST0245,PROD003,8,6900,0.1,55200,5520,49680,5200,41600,8080,Bank Transfer,Pending
ORD00183,1/10/2024,CUST0226,PROD028,4,159200,0.1,636800,63680,573120,112500,450000,123120,Card,Completed
ORD01827,1/10/2024,CUST0087,PROD011,6,20000,0.15,120000,18000,102000,13400,80400,21600,Card,Pending
ORD00350,1/10/2024,CUST0269,PROD039,2,481400,0.25,962800,240700,722100,392300,784600,-62500,Mobile Money,Pending
ORD01315,1/10/2024,CUST0095,PROD048,10,414500,0.15,4145000,621750,3523250,303100,3031000,492250,Bank Transfer,Completed
ORD01677,1/10/2024,CUST0105,PROD009,9,9600,0,86400,0,86400,6200,55800,30600,Card,Completed
ORD02254,1/11/2024,CUST0198,PROD009,6,9600,0.05,57600,2880,54720,6200,37200,17520,Mobile Money,Pending
ORD00018,1/12/2024,CUST0125,PROD029,3,183600,0.15,550800,82620,468180,105400,316200,151980,Mobile Money,Completed
ORD00062,1/12/2024,CUST0143,PROD044,10,11500,0.05,115000,5750,109250,6400,64000,45250,Card,Completed
ORD01335,1/12/2024,CUST0060,PROD021,4,36000,0.15,144000,21600,122400,21600,86400,36000,Mobile Money,Completed
ORD01927,1/12/2024,CUST0242,PROD014,9,249000,0,0,0,0,141700,0,0,Mobile Money,Cancelled
ORD00365,1/12/2024,CUST0097,PROD049,8,4000,0.15,32000,4800,27200,2300,18400,8800,Cash,Completed
ORD01490,1/12/2024,CUST0085,PROD054,4,37100,0,0,0,0,25500,0,0,Bank Transfer,Cancelled
ORD01203,1/13/2024,CUST0016,PROD024,10,148600,0.25,0,0,0,96300,0,0,Bank Transfer,Cancelled
ORD01284,1/13/2024,CUST0010,PROD007,4,25700,0.05,0,0,0,16900,0,0,Cash,Cancelled
ORD01409,1/13/2024,CUST0021,PROD003,10,6900,0.15,69000,10350,58650,5200,52000,6650,Card,Completed
ORD00139,1/13/2024,CUST0084,PROD050,5,79700,0.25,398500,99625,298875,49400,247000,51875,Card,Completed
ORD00357,1/13/2024,CUST0083,PROD017,9,3200,0.15,28800,4320,24480,2300,20700,3780,Mobile Money,Pending
ORD01385,1/13/2024,CUST0273,PROD001,8,536800,0.1,4294400,429440,3864960,344100,2752800,1112160,Cash,Completed
ORD00367,1/14/2024,CUST0137,PROD002,9,344400,0.2,3099600,619920,2479680,273600,2462400,17280,Card,Pending
ORD01322,1/14/2024,CUST0117,PROD025,10,72800,0.1,728000,72800,655200,59600,596000,59200,Card,Completed
ORD01578,1/15/2024,CUST0024,PROD047,4,22800,0.1,91200,9120,82080,14000,56000,26080,Card,Pending
ORD00823,1/16/2024,CUST0187,PROD027,4,25700,0.1,0,0,0,16400,0,0,Mobile Money,Cancelled
ORD00662,1/16/2024,CUST0076,PROD023,1,121900,0.25,0,0,0,79500,0,0,Card,Cancelled
ORD01974,1/17/2024,CUST0289,PROD028,8,159200,0.15,0,0,0,112500,0,0,Bank Transfer,Cancelled
ORD01459,1/17/2024,CUST0079,PROD013,4,37000,0,148000,0,148000,27000,108000,40000,Mobile Money,Completed
ORD02290,1/17/2024,CUST0210,PROD036,9,247600,0,2228400,0,2228400,191100,1719900,508500,Mobile Money,Completed
ORD00209,1/17/2024,CUST0187,PROD006,10,17200,0.1,172000,17200,154800,12200,122000,32800,Card,Pending
ORD00173,1/17/2024,CUST0128,PROD057,8,20100,0,160800,0,160800,11700,93600,67200,Mobile Money,Completed
ORD01698,1/17/2024,CUST0204,PROD031,4,38500,0.1,154000,15400,138600,27800,111200,27400,Bank Transfer,Pending
ORD02237,1/18/2024,CUST0198,PROD018,6,29300,0.15,175800,26370,149430,21500,129000,20430,Bank Transfer,Completed
ORD00938,1/19/2024,CUST0140,PROD033,10,36700,0.2,367000,73400,293600,21900,219000,74600,Card,Completed
ORD00326,1/19/2024,CUST0233,PROD051,4,121500,0.05,0,0,0,92700,0,0,Mobile Money,Cancelled
ORD00422,1/19/2024,CUST0151,PROD056,7,58800,0.1,411600,41160,370440,33300,233100,137340,Card,Pending
ORD01944,1/19/2024,CUST0294,PROD019,8,197300,0,1578400,0,1578400,120800,966400,612000,Bank Transfer,Completed
ORD01228,1/19/2024,CUST0134,PROD060,4,341700,0.2,1366800,273360,1093440,223100,892400,201040,Bank Transfer,Completed
ORD01625,1/19/2024,CUST0016,PROD026,6,35000,0.05,210000,10500,199500,23500,141000,58500,Card,Completed
ORD02272,1/19/2024,CUST0246,PROD041,5,24800,0.15,124000,18600,105400,16200,81000,24400,Mobile Money,Completed
ORD00372,1/20/2024,CUST0237,PROD059,3,534000,0.15,1602000,240300,1361700,343000,1029000,332700,Bank Transfer,Completed
ORD02006,1/20/2024,CUST0208,PROD001,3,536800,0.1,0,0,0,344100,0,0,Cash,Cancelled
ORD00392,1/20/2024,CUST0282,PROD007,7,25700,0.05,179900,8995,170905,16900,118300,52605,Mobile Money,Completed
ORD01165,1/20/2024,CUST0066,PROD037,10,107900,0.15,1079000,161850,917150,59400,594000,323150,Mobile Money,Completed
ORD00382,1/20/2024,CUST0152,PROD051,8,121500,0,972000,0,972000,92700,741600,230400,Cash,Completed
ORD02169,1/21/2024,CUST0151,PROD017,9,3200,0.15,28800,4320,24480,2300,20700,3780,Mobile Money,Completed
ORD00167,1/21/2024,CUST0031,PROD031,3,38500,0.15,115500,17325,98175,27800,83400,14775,Bank Transfer,Completed
ORD00532,1/21/2024,CUST0194,PROD043,6,188900,0.15,1133400,170010,963390,153600,921600,41790,Card,Completed
ORD00570,1/22/2024,CUST0006,PROD005,10,444900,0.1,4449000,444900,4004100,322200,3222000,782100,Bank Transfer,Completed
ORD01998,1/22/2024,CUST0296,PROD055,6,175400,0.1,1052400,105240,947160,104000,624000,323160,Cash,Completed
ORD01813,1/22/2024,CUST0286,PROD016,10,6400,0,64000,0,64000,4000,40000,24000,Bank Transfer,Completed
ORD01327,1/22/2024,CUST0141,PROD016,2,6400,0.1,12800,1280,11520,4000,8000,3520,Bank Transfer,Completed
ORD01913,1/22/2024,CUST0002,PROD036,3,247600,0.05,742800,37140,705660,191100,573300,132360,Bank Transfer,Completed
ORD01210,1/22/2024,CUST0282,PROD024,8,148600,0,1188800,0,1188800,96300,770400,418400,Bank Transfer,Pending
ORD01311,1/23/2024,CUST0013,PROD048,1,414500,0.1,414500,41450,373050,303100,303100,69950,Card,Pending
ORD01382,1/23/2024,CUST0080,PROD019,8,197300,0.15,1578400,236760,1341640,120800,966400,375240,Card,Completed
ORD01031,1/23/2024,CUST0090,PROD057,7,20100,0.1,140700,14070,126630,11700,81900,44730,Bank Transfer,Pending
ORD00327,1/23/2024,CUST0227,PROD022,9,238700,0.05,2148300,107415,2040885,134700,1212300,828585,Card,Completed
ORD02042,1/25/2024,CUST0178,PROD013,4,37000,0.15,148000,22200,125800,27000,108000,17800,Bank Transfer,Completed
ORD01544,1/25/2024,CUST0182,PROD015,10,24400,0,244000,0,244000,17600,176000,68000,Card,Completed
ORD01239,1/25/2024,CUST0148,PROD042,3,9300,0.1,27900,2790,25110,5400,16200,8910,Mobile Money,Completed
ORD02312,1/25/2024,CUST0047,PROD010,4,41400,0.1,165600,16560,149040,29700,118800,30240,Card,Completed
ORD00053,1/25/2024,CUST0210,PROD001,4,536800,0.15,2147200,322080,1825120,344100,1376400,448720,Mobile Money,Completed
ORD00859,1/26/2024,CUST0285,PROD035,4,82200,0.05,0,0,0,54600,0,0,Mobile Money,Cancelled
ORD01543,1/26/2024,CUST0018,PROD027,9,25700,0.1,0,0,0,16400,0,0,Mobile Money,Cancelled
ORD00607,1/26/2024,CUST0025,PROD026,2,35000,0.1,70000,7000,63000,23500,47000,16000,Bank Transfer,Completed
ORD01294,1/27/2024,CUST0009,PROD020,1,27300,0.15,27300,4095,23205,18400,18400,4805,Bank Transfer,Completed
ORD02494,1/27/2024,CUST0181,PROD008,8,284900,0,0,0,0,184900,0,0,Card,Cancelled
ORD01427,1/28/2024,CUST0104,PROD054,8,37100,0.25,296800,74200,222600,25500,204000,18600,Bank Transfer,Completed
ORD00556,1/28/2024,CUST0151,PROD050,9,79700,0.05,717300,35865,681435,49400,444600,236835,Mobile Money,Completed
ORD00181,1/29/2024,CUST0181,PROD043,2,188900,0.1,377800,37780,340020,153600,307200,32820,Card,Pending
ORD01964,1/29/2024,CUST0282,PROD024,1,148600,0.1,148600,14860,133740,96300,96300,37440,Bank Transfer,Completed
ORD00329,1/30/2024,CUST0149,PROD043,4,188900,0.05,755600,37780,717820,153600,614400,103420,Mobile Money,Pending
ORD01022,1/30/2024,CUST0158,PROD001,6,536800,0.15,3220800,483120,2737680,344100,2064600,673080,Card,Completed
ORD01328,1/30/2024,CUST0268,PROD027,7,25700,0.05,179900,8995,170905,16400,114800,56105,Bank Transfer,Completed
ORD01067,1/31/2024,CUST0259,PROD008,2,284900,0.15,569800,85470,484330,184900,369800,114530,Card,Completed
ORD01413,1/31/2024,CUST0179,PROD024,2,148600,0.15,297200,44580,252620,96300,192600,60020,Mobile Money,Completed
ORD01308,1/31/2024,CUST0111,PROD019,6,197300,0.1,0,0,0,120800,0,0,Cash,Cancelled
